;grade,item_id,item_amount,item_expiry,item_bind,note_cost,gold_cost,jaden_cost,bonus_item1_id,bonus_item1_num,bonus_item1_exp,bonus_item1_bind,bonus_item2_id,bonus_item2_num,bonus_item2_exp,bonus_item2_bind,bonus_item3_id,bonus_item3_num,bonus_item3_exp,bonus_item3_bind
0,40910,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7799,1,0,0,4,999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,33056,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51136,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52258,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52352,20,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,41668,5000,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,41668,100000,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22343,10000,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,44463,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,44463,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,69863,10,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,
0,69863,50,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,
0,77090,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,58577,100,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,58577,200,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,58002,100,0,0,88,888,0,0,0,0,0,0,0,0,0,0,0,0,0
0,58005,10,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,58005,50,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,58007,20,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,58007,10,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,77914,10,0,0,888,888,0,0,0,0,0,0,0,0,0,0,0,0,0
0,63524,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20098,100,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20098,250,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
;grade,item_id,item_amount,item_expiry,item_bind,note_cost,gold_cost,jaden_cost,bonus_item1_id,bonus_item1_num,bonus_item1_exp,bonus_item1_bind,bonus_item2_id,bonus_item2_num,bonus_item2_exp,bonus_item2_bind,bonus_item3_id,bonus_item3_num,bonus_item3_exp,bonus_item3_bind
;jaden
1,41668,9999,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1,41668,30000,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
1,22460,100,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1,55601,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,55601,60,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,55620,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,55620,60,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
1,71488,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,22343,9999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,22343,30000,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1,56040,9999,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1,56040,99999,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
1,41171,200,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
1,68823,5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1,68823,10,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1,13347,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1,13347,20,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
1,13347,100,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1,18794,500,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
1,18794,1000,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1,18794,3000,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0
1,65842,10000,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
1,65842,100000,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1,49145,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,49145,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,49145,20,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,51199,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
1,70180,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,70180,12,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1,75960,1000,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
1,77090,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1,77090,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1,77091,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1,77088,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1,77093,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1,77087,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1,77092,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1,76614,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1,76614,100,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1,69694,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,69521,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1,66770,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1,64953,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,73369,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1,73369,5,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1,73369,10,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
1,80748,1,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
1,80771,1,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
1,63416,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1,63416,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
1,57489,1,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
1,71509,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1,62754,10,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
1,62754,30,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
1,69513,10,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
1,69513,30,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
1,79659,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,43571,5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1,75718,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1,58002,50,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,77914,10,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1,66742,2,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
1,74579,2,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
1,52377,50,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1,52377,100,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1,52258,50,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
1,7824,1,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
1,4007,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,4007,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1,4007,50,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
1,77826,1,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0
1,69695,1,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0
1,80554,1,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1,80501,1,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0
1,77452,1,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0
1,77652,1,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
1,60299,1,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0
1,58852,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
1,18414,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1,72040,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1,71537,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1,71637,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
2,80940,1,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0
2,70915,1,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
2,70916,1,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
2,70917,1,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
2,70918,1,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
2,70919,1,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
2,70920,1,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
2,70921,1,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
2,70922,1,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
2,79734,1,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0
2,79733,1,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0
2,79732,1,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0
2,79731,1,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0
2,75960,5000,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0
2,81528,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2,81246,1,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
2,81609,1,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0
